skip	order_id	product_id	description	price	quantity	is_ready	outlay	outlayPacking
262	127	1	набор фотобутафории черно-розовый Девичник	150	1	1	49	0
263	128	1	набор фотобутафории бело-розовый Девичник	150	1	1	49	0
264	129	1	Гирлянда Максиму 1 год синяя с белым 200 рублей	100	1	1	12,5	0
265	129	1	гирлянда звездочки синий гол белый 6 метров  200 р	100	1	1	1	0
266	130	1	Топперы с мишками Тедди односторонние 7 грн/шт	42	1	1	5	0
267	130	1	гирлянда синяя с золотом	110	1	1	16,4	0
268	130	1	гирлянда кружочки синие 3 м	60	1	1	0,6	0
269	131	1	Фотобутафория роз-серебро новый набор	85	1	1	16,25	0
270	131	1	Гирлянда текстовая роз и серебро Алиса с ДР!	155	1	1	30,5	0
271	131	1	Гирлянда-сердечки роз-серебр 3 м	60	1	1	1	0
272	132	1	Гирлянда Темочке 1 годик	115	1	1	16,4	0
273	132	1	топперы односторонние Артемс пати 15 шт Макет!!!	75	1	1	7	0
274	132	1	колпачки 5 шт+1	60	1	1	0	0
275	133	1	Гирлянда-звезды роз-серебро	60	1	1	15	0
276	133	1	гирлянда кружки роз-серебро	60	1	1	10	0
277	133	1	Набор фотобутафории Микки 2 набора	170	1	1	59,5	0
278	133	1	Гирлянда Микки Девичник	85	1	1	12,3	0
279	133	1	набор черно-розовый девичник	150	1	1	49	0
280	133	1	Тассел 16 шт черно-ро-серебр	150	1	1	49	0
281	134	1	метрика в рамке минни маус	150	1	1	39	0
282	134	1	Гирлянда С ДР Ника	140	1	1	16,3	0
283	135	1	Набор Микки фотобутафория	90	1	1	0	0
284	136	1	Набор фотобутафории с ушками Девичник	90	1	1	12,25	0
285	136	1	набор фотобутафории бело-розовый Девичник	150	1	1	49	0
286	137	1	Гирлянда Доминике 1 год	120	1	1	12,3	0
287	137	1	Гирляда-звездочки мята-серебро 1 шт	60	1	1	10	0
288	137	1	Гирлянда 12 мес глиттер	80	1	1	10	0
289	138	1	Гирлянда Виктория Сикрет Ira party	75	1	1	8,3	0
290	138	1	Гирлянда-трусики	50	1	1	0,5	0
291	139	1	Гирлянда Девичник с посыпкой	90	1	1	12,3	0
292	139	1	Набор фотобутафории с ушками Девичник	85	1	1	16,25	0
293	140	1	Набор фотобутафории черный таблички	120	1	1	42,5	0
294	141	1	набор фотобутафории Единорог	150	1	1	41,5	0
295	142	1	набор детский хеллоуин	70	1	1	14,75	0
296	143	1	тассел 15 шт роз-роз-серебро	105	1	1	8	0
297	144	1	Гирлянда Виктория Сикрет Victoria's Hen Party	135	1	1	16,3	0
298	145	1	Гирлянда роз с золотом HB	115	1	1	12,3	0
299	146	1	Гирлянда День Народж Сашуні	130	1	1	20,3	0
300	146	1	топперы односторонние 12 шт	84	1	1	6	0
301	146	1	Обертки на бутылочки 6 шт	42	1	1	5	0
302	146	1	Топпер в торт	50	1	1	10	0
303	147	1	Набор фотобутафории Хеллоуин	70	1	1	14,75	0
304	147	1	Топперы одностор 15 шт	105	1	1	6	0
305	148	1	Губки на палочках красные и золото по 100 шт	1000	1	1	69	0
306	148	1	короны черные с золотом 100 шт	700	1	1	125	0
307	148	1	Геометка 15 шт	105	1	1	27,75	0
308	149	1	Гирлянда фамилия марсала с золотом	60	1	1	4,8	0
309	149	1	Фотобутафория черные таблички марс-золото 10 шт	120	1	1	42,5	0
